,Structure Abbreviation,Index,Voxel Number,Mean intensity
112,PnC_L,113.0,1510,0.37356322412656634
113,Sp5_L,114.0,1999,0.36935528402420326
114,Ve_L,115.0,1984,0.3597638496468144
115,Gi_L,116.0,4598,0.35103685031926546
116,Cu_L,117.0,415,0.3668954874736717
117,ac_L,118.0,231,0.31586946198692567
118,ot_L,119.0,1110,0.32263959229395195
119,fi_L,120.0,1037,0.3539345185546314
120,cc_L,121.0,9256,0.3518073619560676
121,fx_L,122.0,44,0.3293964666399089
122,st_L,123.0,394,0.3469361177253239
123,cg_L,124.0,531,0.4020333450056065
124,lo_L,125.0,419,0.34855973754335984
125,vhc_L,126.0,15,0.34709712266922
126,ic_L,127.0,1708,0.34689856077210685
127,fr_L,128.0,0,
128,sm_L,129.0,35,0.2768615241561617
129,mt_L,130.0,0,
130,pc_L,131.0,15,0.3371466755867004
131,bsc_L,132.0,5,0.2795126914978027
132,cp_L,133.0,1239,0.3375470902984233
133,ll_L,134.0,488,0.343204226008937
134,sp5_L,135.0,1181,0.3350001120723778
135,py_L,136.0,457,0.3062381060300823
136,n8_L,137.0,89,0.3053361056895738
137,n7_L,138.0,0,
138,lfp_L,139.0,11,0.3266634778542952
139,mlf_ts_L,140.0,829,0.3345266128423993
140,sc_L,141.0,283,0.32195157339210645
141,ml_L,142.0,97,0.3389670271234414
142,vsc_L,143.0,716,0.35729924545691
143,mcp_L,144.0,988,0.32125972246803974
144,scp_L,145.0,368,0.34743396285921335
145,icp_oc_tz_L,146.0,330,0.3392316382491227
146,cbw_L,147.0,3256,0.34116577818367344
147,LV_L,148.0,4714,0.2624461022590903
148,A25_L,149.0,201,0.33065106627063373
149,das_L,150.0,0,
150,Post_L,151.0,271,0.39854099648245145
151,4V_L,152.0,465,0.3109237416617332
152,MiTg_L,153.0,503,0.36399213018758636
153,PT_L,154.0,51,0.24784230550422387
154,LDVL_L,155.0,57,0.39569427308283356
155,LP_L,156.0,96,0.45865429534266394
156,Athal_L,157.0,339,0.35590365788402106
157,RMC_L,158.0,70,0.3395853489637375
158,PaR_L,159.0,0,
159,RR_L,160.0,254,0.363105408905998
160,CSF_L,161.0,174,0.30917090749175385
161,IRN_L,162.0,1000,0.3689434472620487
162,PHD_PaMP_Post_and_LatHy_L,163.0,630,0.3587949054345252
163,PR_p3Tg_L_L,164.0,35,0.33891647032329014
164,PVG_L,165.0,58,0.3469304496358181
165,BLA_L,166.0,907,0.4043943639166957
166,A24a_R,1001.0,862,0.3574100988560514
167,A24aPrime_R,1002.0,353,0.4000454148008533
168,A24b_R,1003.0,935,0.42092734941824234
169,A24bPrime_R,1004.0,236,0.5033779420842559
170,A29a_R,1005.0,243,0.423592235816359
171,A29b_R,1006.0,98,0.4899539290642252
172,A29c_R,1007.0,598,0.47948605931024485
173,A30_R,1008.0,1355,0.5273180737019245
174,A32_R,1009.0,1138,0.3919255607131286
175,Au1_R,1010.0,623,0.5300114348554688
176,AuD_R,1011.0,793,0.5783087760961672
177,AuV_R,1012.0,626,0.489244741468003
178,DLO_R,1013.0,375,0.3602081739902496
179,Fr3_R,1014.0,333,0.40199961855604843
180,FrA_R,1015.0,3269,0.4326866541220785
